"detail.rd.reduceCar";"detail.rd.compCar"
-0.15;0.24
0;0
0;0
0;0
-0.141;0.05304
-0.846;0.288
0;0
-0.8225;0.34776
-0.47;0
0;0
-1.08;0.7072
0;0
-1.8375;0.7578
-0.54;0.1768
-0.27;0
0;0
-0.188;0.14144
-0.15;0
-1.26;0.47152
0;0
0;0
0;0
-0.11;0.176
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.055;0.1768
0;0
-0.198;0
0;0
0;0
-0.57;0
0;0
0;0
-0.225;0.5052
-0.49;0.1642
-0.47;0.16
-0.705;0.5304
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.972;0.288
0;0
0;0
0;0
0;0
-0.216;0
-0.6555;0.184
-0.088;0.128
-0.81;0
-0.245;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.245;0
0;0
-0.225;0.36
0;0
0;0
-0.5875;0.2968
-1.47;0.49008
0;0
-0.098;0
-0.2585;0.19448
-0.495;0
-1.89;0
0;0
0;0
0;0
0;0
-0.0735;0.024
-1.08;0.48
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.105;0
0;0
0;0
0;0
-1.225;0
0;0
-0.588;0.27616
-0.141;0
-0.141;0.05304
-0.162;0.048
0;0
0;0
0;0
0;0
0;0
0;0
-0.1645;0
-0.06;0
0;0
0;0
-0.705;0.2484
0;0
0;0
0;0
0;0
-1.225;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.705;0.08
-0.47;0.16
-3.645;0.12
-0.5775;0
-0.3;0
-0.5145;0.37128
-1.53;0.15028
-0.094;0
0;0
0;0
0;0
0;0
0;0
-0.165;0
0;0
-0.2;0.32
0;0
-0.54;0
0;0
-0.27;0.08
-0.045;0
-0.294;0
0;0
0;0
-4.32;0
0;0
0;0
0;0
0;0
0;0
-0.06;0.09936
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.855;0
0;0
-0.1225;0.04
0;0
0;0
0;0
-0.3525;0
-0.972;0.288
-0.4275;0.2652
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-1.026;0
0;0
0;0
-0.235;0
0;0
-2.394;0.608
-0.32;0.512
0;0
0;0
0;0
0;0
0;0
-0.05;0.1768
0;0
0;0
0;0
-0.288;0
-1.215;0.36
0;0
0;0
0;0
-1.127;0
0;0
0;0
-0.47;0.1768
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.196;0
0;0
-0.94;0
0;0
-0.567;0
-0.282;0.15408
0;0
-0.468;0.22984
-0.225;0.36
0;0
0;0
0;0
0;0
-0.735;0.16
0;0
0;0
-0.18;0.096
0;0
-0.343;0.24752
-0.225;0.36
-2.9925;0.87528
0;0
0;0
0;0
0;0
0;0
-0.015;0
-1.127;0.40664
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0.096
-0.195;0.56368
0;0
0;0
0;0
-0.27;0.1284
0;0
0;0
-0.216;0
-0.0235;0.008
0;0
-1.197;0.336
-0.882;0
-0.18;0.08
0;0
